"main.id","hpq_phiheal_spon_mem.id","phiheal_spon_mem_refno"
"901307","1","2"
"912521","0","1"
"912521","1","4"
"912521","2","5"
"912535","0","2"
"912535","1","5"
"914177","0","2"
"921791","0","1"
"921791","1","2"
"924594","0","1"
"924617","0","1"
"924665","0","1"
"924672","0","2"
"924701","0","2"
"924704","0","1"
"924705","0","2"
"924712","0","1"
"924713","0","2"
"924735","0","1"
"924773","0","2"
"924802","0","1"
"924821","0","2"
"924849","0","2"
"926638","0","2"
"926640","0","1"
"926855","0","1425140600392"
"929151","0","2"
"929151","1","4"
"929220","0","1"
"930305","0","1"
"930317","0","2"
"931316","0","2"
"933044","0","1"
"933066","0","3"
"933622","0","1"
"935459","0","1"
"935476","0","2"
"935476","1","4"
"935476","2","5"
"935476","3","6"
"935476","4","9"
"935484","0","1"
"936253","0","1"
"936263","0","1"
"946647","0","2"
"946742","0","3"
"963027","0","1"
"963027","1","2"
"963031","0","1"
"963034","0","1"
"963035","0","1"
"963035","1","2"
"963036","0","1"
"963037","0","1"
"963037","1","1"
"963038","0","1"
"963038","1","2"
"963039","0","1"
"963039","1","2"
"963039","2","3"
"963039","3","4"
"963784","0","2"
"963784","1","1"
"963817","0","2"
"963817","1","1"
"964050","0","2"
"966581","0","1"
"966705","0","1"
"967111","0","1"
"967111","1","2"
"967111","2","3"
"971366","0","3"
"971443","0","1"
"972282","0","1"
"972283","0","2"
"972286","0","1"
"972288","0","1"
"972294","0","1"
"972294","1","2"
"972295","0","1"
"972295","1","2"
"972296","0","1"
"972296","1","2"
"972941","0","1"
"972942","0","1"
"972942","1","2"
"972945","0","1"
"972945","1","2"
"972946","0","1"
"972946","1","2"
"972950","0","2"
"978441","0","1"
"978459","0","1"
"979023","0","2"
"979023","1","13"
"979023","2","14"
"979023","3","15"
"980776","0","1"
"980776","1","2"
"980777","0","2"
"980787","0","1"
"980817","0","1"
"980820","0","1"
"980820","1","2"
"980821","0","1"
"980825","0","1"
"980830","0","1"
"980850","0","1"
"980850","1","2"
"980855","0","2"
"982342","0","1"
"982344","0","2"
"982652","0","2"
"984496","0","1"
"984509","0","2"
"984538","0","1"
"984540","0","2"
"987359","0","2"
"987360","0","1"
"987360","1","2"
"987360","2","3"
"987361","0","1"
"987361","1","2"
"987372","0","1"
"987372","1","2"
"987374","0","1"
"987376","0","2"
"987378","0","2"
"990097","0","1"
"990104","0","1"
"990108","0","1"
"990112","0","1"
"990112","1","2"
"990112","2","3"
"990117","0","1"
"990117","1","2"
"990545","0","1"
"990550","0","2"
"999213","0","1"
"999218","0","1"
"1008099","0","2"
"1008100","0","2"
"1008101","0","1"
"1008131","0","1"
"1015197","0","1"
"1015197","1","2"
"1015197","2","3"
"1015197","3","4"
"1015198","0","1"
"1015198","1","2"
"1015198","2","3"
"1015220","0","1"
"1015220","1","2"
"1015220","2","3"
"1015220","3","4"
"1015220","4","5"
"1015222","0","1"
"1015222","1","2"
"1015222","2","3"
"1020946","0","1"
"1020965","0","1"
"1020966","0","1"
"1030903","0","1"
"1032668","0","1"
"1032669","0","2"
"1032670","0","1"
"1032672","0","1"
"1032674","0","2"
"1032677","0","2"
"1032684","0","1"
"1032686","0","1"
"1036194","0","1"
"1036197","0","1"
"1036197","1","2"
"1036205","0","1"
"1036208","0","1"
"1036208","1","2"
"1036211","0","1"
"1036211","1","2"
"1036222","0","1"
"1036222","1","2"
"1036225","0","1"
"1036231","0","2"
"1036238","0","1"
"1036242","0","1"
"1036254","0","1"
"1036254","1","2"
"1036256","0","1"
"1036259","0","1"
"1036259","1","2"
"1036261","0","1"
"1036261","1","2"
"1036263","0","1"
"1036263","1","2"
"1036267","0","1"
"1036267","1","2"
"1042841","0","1"
"1042841","1","2"
"1042850","0","5"
"1042864","0","1"
"1042864","1","2"
"1042868","0","1"
"1042868","1","2"
"1042868","2","3"
"1042868","3","4"
"1042868","4","5"
"1044675","0","1"
"1044676","0","1"
"1044681","0","1"
"1044681","1","2"
"1044711","0","2"
"1044715","0","1"
"1044715","1","2"
"1050128","0","3"
"1050132","0","1"
"1050134","0","1"
"1050137","0","1"
"1050139","0","1"
"1050139","1","4"
"1050141","0","1"
"1053360","0","1"
