Count of OFFENSES,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,ATTEMPTED HOMICIDE(PERSONS),ATTEMPTED MURDER(PERSONS),ATTEMPTED PARRICIDE(PERSONS),ATTEMPTED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),ATTEMPTED ROBBERY(PROPERTY),ATTEMPTED THEFT(PROPERTY),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MC(SPECIAL LAWS),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MV(SPECIAL LAWS),CONSUMATED HOMICIDE(PERSONS),CONSUMATED MURDER(PERSONS),CONSUMATED PHYSICAL INJURIES(PERSONS),CONSUMATED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),CONSUMATED ROBBERY(PROPERTY),CONSUMATED THEFT(PROPERTY),FRUSTRATED HOMICIDE(PERSONS),FRUSTRATED MURDER(PERSONS),QUALIFIED THEFT(PROPERTY),SERIOUS PHYSICAL INJURIES(PERSONS),Grand Total
Barangay 4,,,,,,,,,1,3,,1,,,,,,,5
Barangay 40,,,,,,,1,,,2,1,1,1,,1,1,,,8
Barangay 41,,,,,,,,,,1,,,3,2,,1,,,7
Barangay 42,,,,,,,,,,,1,1,,2,,,,1,5
Barangay 43,,,,,,,,,1,1,,1,,1,,,,,4
Barangay 44,,,,,,,,,,1,,,,3,,,,,4
Barangay 46,2,,,,,,,,,2,1,1,1,1,,,,,8
Barangay 47,,,,,,,1,,,1,,,2,9,,1,,,14
Barangay 48,1,,,,,,,,,2,,,,1,,,,,4
Barangay 49,1,,,,,,,,,,,,,4,1,,,,6
Barangay 5,,,,,,,,,,1,,,,1,,,,,2
Barangay 51,,,,,,,,,,,,,,2,,,,,2
Barangay 52,,,,,,,,,,1,,,,,,,,,1
Barangay 54,,,,,,,,,,,1,,,,1,,,,2
Barangay 55,,,,,,,,,,1,,,,2,,2,,,5
Barangay 56,,,,,,,,,,,1,1,,,,,,,2
Barangay 57,1,,,,,,,,,,1,,,1,2,,,,5
Barangay 58,,,,,,,,,,1,,,1,,1,,,,3
Barangay 59,2,,,,,,1,,,,1,,,3,1,,,,8
Barangay 6,,,,,,,,,,,,,,1,,,,,1
Barangay 60,2,,,,1,,1,,,2,3,1,,6,2,,,,18
Barangay 61,1,,,,,,,,,3,,,,,1,,,,5
Barangay 63,,,,,,,,,,,,1,,,,,,,1
Barangay 64,,,,,,,,,,,,,,1,,,,,1
Barangay 65,,,,,,,,,,,,1,1,1,,,,,3
Barangay 66,,,,,,,,1,,1,,,,1,1,,,,4
Barangay 67,,,,,,,,,,1,,,,,,,,,1
