"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"769203","1","2"
"780529","0","1"
"780529","1","2"
"788942","0","1"
"788942","1","2"
"788942","2","6"
"788942","3","7"
"788945","0","1"
"788945","1","2"
"788945","2","3"
"788945","3","4"
"788946","0","1"
"788946","1","2"
"788946","2","3"
"788946","3","4"
"788952","0","1"
"788952","1","2"
"788952","2","3"
"788952","3","4"
"788952","4","5"
"788956","0","1"
"802201","0","4"
"802201","1","2"
"802201","2","3"
"802201","3","4"
"803562","0","2"
"803562","1","1"
"803564","0","1"
"803564","1","3"
"803564","2","4"
"803593","0","1"
"804949","0","2"
"804949","1","3"
"804949","2","4"
"804949","3","5"
"804949","4","6"
"804949","5","7"
"807801","0","1"
"807801","1","2"
"807806","0","1"
"814152","0","1"
"820301","0","1"
"820301","1","2"
"820301","2","3"
"833338","0","1"
"833338","1","2"
"833338","2","3"
"833338","3","4"
"833352","0","2"
"833726","0","1"
"833767","0","5"
"833767","1","6"
"833768","0","1"
"833808","0","2"
"833820","0","1"
"834033","0","1"
"834033","1","3"
"838303","0","2"
"838303","1","3"
"838333","0","1"
"838333","1","2"
"838333","2","3"
"842101","0","2"
"845637","0","1"
"845637","1","3"
"845637","2","4"
"845715","0","1"
"848648","0","3"
"848650","0","2"
"848652","0","1"
"848653","0","1"
"848653","1","3"
"848669","0","1"
"848671","0","1"
"849461","0","1"
"849461","1","3"
"849465","0","1"
"849469","0","1"
"849474","0","1"
"849490","0","1"
"849490","1","2"
"849498","0","1"
"849502","0","1"
"849533","0","3"
"850133","0","1"
"850143","0","1"
"850143","1","2"
"852992","0","1"
"865526","0","1"
"865526","1","2"
"865526","2","3"
"865546","0","1"
"865546","1","2"
"865546","2","3"
"865546","3","4"
"865644","0","2"
"865644","1","1"
"865645","0","1"
"865645","1","5"
"866475","0","1"
"866495","0","1"
"866834","0","1"
"868306","0","1"
"868306","1","2"
"868306","2","3"
"868306","3","4"
"868486","0","1"
"868486","1","2"
"868486","2","3"
"868709","0","1"
"868709","1","2"
"868709","2","3"
"868709","3","4"
"869760","0","3"
"869762","0","2"
"869779","0","3"
"869779","1","4"
"869821","0","1"
"869821","1","5"
"872515","0","1"
"874413","0","1"
"877757","0","2"
"877757","1","3"
"877757","2","4"
"877757","3","8"
"877757","4","9"
"880869","0","1"
"880869","1","2"
"880869","2","3"
"880869","3","4"
"883168","0","2"
"885665","0","1"
"886749","0","1"
"886749","1","2"
"886751","0","1"
"886753","0","1"
"886753","1","2"
"886753","2","3"
"886756","0","1"
"886756","1","2"
"886756","2","3"
"886756","3","4"
"886791","0","1"
"886791","1","2"
"886791","2","3"
"886791","3","4"
"886791","4","5"
"888028","0","1"
"888051","0","4"
"888054","0","1"
"888054","1","2"
"888055","0","1"
"888055","1","2"
"888056","0","1"
"888056","1","2"
"888057","0","2"
"888057","1","3"
"888856","0","1"
"888856","1","2"
"888888","0","1"
"888892","0","1"
"888893","0","1"
"888900","0","1"
"888900","1","2"
"888903","0","5"
"888903","1","6"
"888909","0","1"
"888909","1","3"
"888917","0","1"
"888917","1","2"
"888919","0","4"
"888919","1","5"
"889622","0","2"
